suite,query,plan,plan_kind,source_file,repetition,execution_order,seconds,status,error
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,6,223,2.882000000,ok,
lsqb,q1,query,original,lsqb-q1/query.sql,6,224,4.964000000,ok,
job,17a,rewrite6,rewrite,job-17a/rewrite6.sql,6,225,4.989000000,ok,
job,22d,query,original,job-22d/query.sql,6,226,9.994000000,ok,
job,22d,rewrite7,rewrite,job-22d/rewrite7.sql,6,227,14.852000000,ok,
job,22d,rewrite3,rewrite,job-22d/rewrite3.sql,6,228,5.050000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,6,229,5.603000000,ok,
job,17a,rewrite4,rewrite,job-17a/rewrite4.sql,6,230,6.544000000,ok,
job,15d,rewrite3,rewrite,job-15d/rewrite3.sql,6,231,2.613000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,6,232,3.951000000,ok,
job,17a,rewrite7,rewrite,job-17a/rewrite7.sql,6,233,4.291000000,ok,
job,15d,rewrite6,rewrite,job-15d/rewrite6.sql,6,234,2.800000000,ok,
job,22d,rewrite5,rewrite,job-22d/rewrite5.sql,6,235,7.280000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,6,236,1.130000000,ok,
job,17a,query,original,job-17a/query.sql,6,237,7.782000000,ok,
job,15d,rewrite4,rewrite,job-15d/rewrite4.sql,6,238,7.487000000,ok,
lsqb,q1,rewrite3,rewrite,lsqb-q1/rewrite3.sql,6,239,1.118000000,ok,
job,2d,rewrite2,rewrite,job-2d/rewrite2.sql,6,240,1.716000000,ok,
lsqb,q1,rewrite5,rewrite,lsqb-q1/rewrite5.sql,6,241,1.619000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,6,242,6.671000000,ok,
job,15d,query,original,job-15d/query.sql,6,243,5.063000000,ok,
job,22d,rewrite2,rewrite,job-22d/rewrite2.sql,6,244,3.808000000,ok,
lsqb,q1,rewrite6,rewrite,lsqb-q1/rewrite6.sql,6,245,1.067000000,ok,
job,22d,rewrite4,rewrite,job-22d/rewrite4.sql,6,246,4.626000000,ok,
